source_id,label,target_id
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Magic_Xylophone
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Magic_Xylophone
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Magic_Xylophone
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Magic_Xylophone
Character:Chloe%27s_Mum,APPEARS_IN,Episode:The_Magic_Xylophone
Character:Bingo_Heeler,APPEARS_IN,Episode:Hospital
Character:Bandit_Heeler,APPEARS_IN,Episode:Hospital
Character:Bluey_Heeler,APPEARS_IN,Episode:Hospital
Character:Bluey_Heeler,APPEARS_IN,Episode:Keepy_Uppy
Character:Chilli_Heeler,APPEARS_IN,Episode:Keepy_Uppy
Character:Bingo_Heeler,APPEARS_IN,Episode:Keepy_Uppy
Character:Bandit_Heeler,APPEARS_IN,Episode:Keepy_Uppy
Character:Lucky,APPEARS_IN,Episode:Keepy_Uppy
Character:Pat,APPEARS_IN,Episode:Keepy_Uppy
Character:Bandit_Heeler,APPEARS_IN,Episode:Daddy_Robot
Character:Bingo_Heeler,APPEARS_IN,Episode:Daddy_Robot
Character:Bluey_Heeler,APPEARS_IN,Episode:Daddy_Robot
Character:Chilli_Heeler,APPEARS_IN,Episode:Daddy_Robot
Character:Bluey_Heeler,APPEARS_IN,Episode:Shadowlands
Character:Coco,APPEARS_IN,Episode:Shadowlands
Character:Snickers,APPEARS_IN,Episode:Shadowlands
Character:Chilli_Heeler,APPEARS_IN,Episode:Shadowlands
Character:Snickers%27_Mum,APPEARS_IN,Episode:Shadowlands
Character:Bella,APPEARS_IN,Episode:Shadowlands
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Weekend
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Weekend
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Weekend
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Weekend
Character:Bingo_Heeler,APPEARS_IN,Episode:BBQ
Character:Bluey_Heeler,APPEARS_IN,Episode:BBQ
Character:Bandit_Heeler,APPEARS_IN,Episode:BBQ
Character:Chilli_Heeler,APPEARS_IN,Episode:BBQ
Character:Trixie_Heeler,APPEARS_IN,Episode:BBQ
Character:Stripe_Heeler,APPEARS_IN,Episode:BBQ
Character:Muffin_Heeler,APPEARS_IN,Episode:BBQ
Character:Socks_Heeler,APPEARS_IN,Episode:BBQ
Character:Bluey_Heeler,APPEARS_IN,Episode:Fruitbat
Character:Bingo_Heeler,APPEARS_IN,Episode:Fruitbat
Character:Chilli_Heeler,APPEARS_IN,Episode:Fruitbat
Character:Bandit_Heeler,APPEARS_IN,Episode:Fruitbat
Character:Stripe_Heeler,APPEARS_IN,Episode:Fruitbat
Character:Rocko,APPEARS_IN,Episode:Fruitbat
Character:Mackenzie%27s_Dad,APPEARS_IN,Episode:Fruitbat
Character:Pat,APPEARS_IN,Episode:Fruitbat
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:Fruitbat
Character:Bluey_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Socks_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Stripe_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Chilli_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Bandit_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Bingo_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Muffin_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Trixie_Heeler,APPEARS_IN,Episode:Horsey_Ride
Character:Bingo_Heeler,APPEARS_IN,Episode:Hotel
Character:Bluey_Heeler,APPEARS_IN,Episode:Hotel
Character:Chilli_Heeler,APPEARS_IN,Episode:Hotel
Character:Bandit_Heeler,APPEARS_IN,Episode:Hotel
Character:Bluey_Heeler,APPEARS_IN,Episode:Bike
Character:Bandit_Heeler,APPEARS_IN,Episode:Bike
Character:Bingo_Heeler,APPEARS_IN,Episode:Bike
Character:Bentley,APPEARS_IN,Episode:Bike
Character:Muffin_Heeler,APPEARS_IN,Episode:Bike
Character:Chloe,APPEARS_IN,Episode:Bike
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:Bike
Character:Bingo_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Bandit_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Bluey_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Chilli_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Stripe_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Trixie_Heeler,APPEARS_IN,Episode:Bob_Bilby
Character:Missy,APPEARS_IN,Episode:Bob_Bilby
Character:Mrs._Retriever,APPEARS_IN,Episode:Bob_Bilby
Character:Jasper_G.%27s_Mum,APPEARS_IN,Episode:Bob_Bilby
Character:Juniper%27s_Mum,APPEARS_IN,Episode:Bob_Bilby
Character:Bentley,APPEARS_IN,Episode:Bob_Bilby
Character:Buddy,APPEARS_IN,Episode:Bob_Bilby
Character:Jasper_W.,APPEARS_IN,Episode:Bob_Bilby
Character:Jasper_G.,APPEARS_IN,Episode:Bob_Bilby
Character:Harley,APPEARS_IN,Episode:Bob_Bilby
Character:Juniper,APPEARS_IN,Episode:Bob_Bilby
Character:Frank,APPEARS_IN,Episode:Bob_Bilby
Character:Mackenzie%27s_Dad,APPEARS_IN,Episode:Bob_Bilby
Character:Chloe%27s_Mum,APPEARS_IN,Episode:Bob_Bilby
Character:Pat,APPEARS_IN,Episode:Bob_Bilby
Character:Rocko,APPEARS_IN,Episode:Bob_Bilby
Character:Bella,APPEARS_IN,Episode:Bob_Bilby
Character:Lucky,APPEARS_IN,Episode:Bob_Bilby
Character:Bluey_Heeler,APPEARS_IN,Episode:Spy_Game
Character:Bingo_Heeler,APPEARS_IN,Episode:Spy_Game
Character:Chilli_Heeler,APPEARS_IN,Episode:Spy_Game
Character:Bandit_Heeler,APPEARS_IN,Episode:Spy_Game
Character:Bluey_Heeler,APPEARS_IN,Episode:Takeaway
Character:Bandit_Heeler,APPEARS_IN,Episode:Takeaway
Character:Bingo_Heeler,APPEARS_IN,Episode:Takeaway
Character:Chilli_Heeler,APPEARS_IN,Episode:Takeaway
Character:Takeaway_Lady,APPEARS_IN,Episode:Takeaway
Character:Bluey_Heeler,APPEARS_IN,Episode:Butterflies
Character:Bingo_Heeler,APPEARS_IN,Episode:Butterflies
Character:Bandit_Heeler,APPEARS_IN,Episode:Butterflies
Character:Judo,APPEARS_IN,Episode:Butterflies
Character:Bingo_Heeler,APPEARS_IN,Episode:Yoga_Ball
Character:Bandit_Heeler,APPEARS_IN,Episode:Yoga_Ball
Character:Bluey_Heeler,APPEARS_IN,Episode:Yoga_Ball
Character:Chilli_Heeler,APPEARS_IN,Episode:Yoga_Ball
Character:Calypso,APPEARS_IN,Episode:Calypso_(Episode)
Character:Pretzel,APPEARS_IN,Episode:Calypso_(Episode)
Character:Bluey_Heeler,APPEARS_IN,Episode:Calypso_(Episode)
Character:Honey,APPEARS_IN,Episode:Calypso_(Episode)
Character:Chloe,APPEARS_IN,Episode:Calypso_(Episode)
Character:Coco,APPEARS_IN,Episode:Calypso_(Episode)
Character:Indy,APPEARS_IN,Episode:Calypso_(Episode)
Character:Rusty,APPEARS_IN,Episode:Calypso_(Episode)
Character:The_Terriers,APPEARS_IN,Episode:Calypso_(Episode)
Character:Honey,APPEARS_IN,Episode:The_Doctor
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Doctor
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Doctor
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Doctor
Character:Lucky,APPEARS_IN,Episode:The_Doctor
Character:Snickers,APPEARS_IN,Episode:The_Doctor
Character:Coco,APPEARS_IN,Episode:The_Doctor
Character:Indy,APPEARS_IN,Episode:The_Doctor
Character:Rusty,APPEARS_IN,Episode:The_Doctor
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Doctor
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Claw
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Claw
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Claw
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Claw
Character:Bluey_Heeler,APPEARS_IN,Episode:Markets
Character:Indy,APPEARS_IN,Episode:Markets
Character:Bingo_Heeler,APPEARS_IN,Episode:Markets
Character:Bandit_Heeler,APPEARS_IN,Episode:Markets
Character:Chilli_Heeler,APPEARS_IN,Episode:Markets
Character:Indy%27s_Mum,APPEARS_IN,Episode:Markets
Character:Daisy,APPEARS_IN,Episode:Markets
Character:Surfer_(The_Beach),APPEARS_IN,Episode:Markets
Character:Rocko,APPEARS_IN,Episode:Markets
Character:Mrs._Retriever,APPEARS_IN,Episode:Markets
Character:Pat,APPEARS_IN,Episode:Markets
Character:Buddy,APPEARS_IN,Episode:Markets
Character:Winton,APPEARS_IN,Episode:Markets
Character:Cornelius,APPEARS_IN,Episode:Markets
Character:Gruber,APPEARS_IN,Episode:Markets
Character:Gruber%27s_Dad,APPEARS_IN,Episode:Markets
Character:Juniper,APPEARS_IN,Episode:Markets
Character:Juniper%27s_Mum,APPEARS_IN,Episode:Markets
Character:Busker,APPEARS_IN,Episode:Markets
Character:Pony_Lady,APPEARS_IN,Episode:Markets
Character:Poffertje_Dog,APPEARS_IN,Episode:Markets
Character:Postie,APPEARS_IN,Episode:Markets
Character:Chilli_Heeler,APPEARS_IN,Episode:Blue_Mountains
Character:Bluey_Heeler,APPEARS_IN,Episode:Blue_Mountains
Character:Bingo_Heeler,APPEARS_IN,Episode:Blue_Mountains
Character:Bandit_Heeler,APPEARS_IN,Episode:Blue_Mountains
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Pool
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Pool
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Pool
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Pool
Character:Stripe_Heeler,APPEARS_IN,Episode:The_Pool
Character:Bluey_Heeler,APPEARS_IN,Episode:Shops
Character:Chloe,APPEARS_IN,Episode:Shops
Character:Honey,APPEARS_IN,Episode:Shops
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:Shops
Character:Rusty,APPEARS_IN,Episode:Shops
Character:Bluey_Heeler,APPEARS_IN,Episode:Wagon_Ride
Character:Bingo_Heeler,APPEARS_IN,Episode:Wagon_Ride
Character:Bandit_Heeler,APPEARS_IN,Episode:Wagon_Ride
Character:Chilli_Heeler,APPEARS_IN,Episode:Wagon_Ride
Character:Rocko,APPEARS_IN,Episode:Wagon_Ride
Character:Chloe%27s_Mum,APPEARS_IN,Episode:Wagon_Ride
Character:Mackenzie%27s_Dad,APPEARS_IN,Episode:Wagon_Ride
Character:Bus_Stop_Dog,APPEARS_IN,Episode:Wagon_Ride
Character:Bus_Stop_Lady,APPEARS_IN,Episode:Wagon_Ride
Character:Bluey_Heeler,APPEARS_IN,Episode:Taxi
Character:Bingo_Heeler,APPEARS_IN,Episode:Taxi
Character:Bandit_Heeler,APPEARS_IN,Episode:Taxi
Character:Chilli_Heeler,APPEARS_IN,Episode:Taxi
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Beach
Character:Chilli_Heeler,APPEARS_IN,Episode:The_Beach
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Beach
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Beach
Character:Surfer_(The_Beach),APPEARS_IN,Episode:The_Beach
Character:Missy,APPEARS_IN,Episode:Pirates
Character:Bluey_Heeler,APPEARS_IN,Episode:Pirates
Character:Chilli_Heeler,APPEARS_IN,Episode:Pirates
Character:Bandit_Heeler,APPEARS_IN,Episode:Pirates
Character:Bingo_Heeler,APPEARS_IN,Episode:Pirates
Character:Bingo_Heeler,APPEARS_IN,Episode:Grannies
Character:Bluey_Heeler,APPEARS_IN,Episode:Grannies
Character:Chris_Heeler,APPEARS_IN,Episode:Grannies
Character:Bandit_Heeler,APPEARS_IN,Episode:Grannies
Character:Chilli_Heeler,APPEARS_IN,Episode:Grannies
Character:Bob_Heeler,APPEARS_IN,Episode:Grannies
Character:Socks_Heeler,APPEARS_IN,Episode:Grannies
Character:Muffin_Heeler,APPEARS_IN,Episode:Grannies
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Creek
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Creek
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:The_Creek
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Creek
Character:Lucky,APPEARS_IN,Episode:The_Creek
Character:The_Terriers,APPEARS_IN,Episode:The_Creek
Character:Juniper,APPEARS_IN,Episode:The_Creek
Character:Missy,APPEARS_IN,Episode:The_Creek
Character:Winton,APPEARS_IN,Episode:The_Creek
Character:Buddy,APPEARS_IN,Episode:The_Creek
Character:Bentley,APPEARS_IN,Episode:The_Creek
Character:Bingo_Heeler,APPEARS_IN,Episode:Fairies
Character:Bandit_Heeler,APPEARS_IN,Episode:Fairies
Character:Bluey_Heeler,APPEARS_IN,Episode:Fairies
Character:Chilli_Heeler,APPEARS_IN,Episode:Fairies
Character:Lucky,APPEARS_IN,Episode:Fairies
Character:Wendy,APPEARS_IN,Episode:Fairies
Character:Judo,APPEARS_IN,Episode:Fairies
Character:Rusty,APPEARS_IN,Episode:Fairies
Character:Pat,APPEARS_IN,Episode:Fairies
Character:Bentley,APPEARS_IN,Episode:Fairies
Character:Zara,APPEARS_IN,Episode:Fairies
Character:Bandit_Heeler,APPEARS_IN,Episode:Work
Character:Bluey_Heeler,APPEARS_IN,Episode:Work
Character:Bingo_Heeler,APPEARS_IN,Episode:Work
Character:Chilli_Heeler,APPEARS_IN,Episode:Work
Character:Wendy,APPEARS_IN,Episode:Work
Character:Bingo_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Bluey_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Socks_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Bandit_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Chilli_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Stripe_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Trixie_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Muffin_Heeler,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Doctor_(Bumpy_and_the_Wise_Old_Wolfhound),APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Nurse,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Lucky,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:Bumpy_and_the_Wise_Old_Wolfhound
Character:Bluey_Heeler,APPEARS_IN,Episode:Trampoline
Character:Bingo_Heeler,APPEARS_IN,Episode:Trampoline
Character:Bandit_Heeler,APPEARS_IN,Episode:Trampoline
Character:Chilli_Heeler,APPEARS_IN,Episode:Trampoline
Character:Bandit_Heeler,APPEARS_IN,Episode:The_Dump
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Dump
Character:Bingo_Heeler,APPEARS_IN,Episode:The_Dump
Character:Mackenzie_Border_Collie,APPEARS_IN,Episode:The_Dump
Character:Mackenzie%27s_Dad,APPEARS_IN,Episode:The_Dump
Character:Mrs._Retriever,APPEARS_IN,Episode:The_Dump
Character:Rocko,APPEARS_IN,Episode:The_Dump
Character:Bluey_Heeler,APPEARS_IN,Episode:Zoo
Character:Bingo_Heeler,APPEARS_IN,Episode:Zoo
Character:Bandit_Heeler,APPEARS_IN,Episode:Zoo
Character:Chilli_Heeler,APPEARS_IN,Episode:Zoo
Character:Bluey_Heeler,APPEARS_IN,Episode:Backpackers
Character:Bingo_Heeler,APPEARS_IN,Episode:Backpackers
Character:Bandit_Heeler,APPEARS_IN,Episode:Backpackers
Character:Chilli_Heeler,APPEARS_IN,Episode:Backpackers
Character:Muffin_Heeler,APPEARS_IN,Episode:Backpackers
Character:Socks_Heeler,APPEARS_IN,Episode:Backpackers
Character:Bluey_Heeler,APPEARS_IN,Episode:The_Adventure
Character:Chloe,APPEARS_IN,Episode:The_Adventure
Character:The_Terriers,APPEARS_IN,Episode:The_Adventure
Character:Calypso,APPEARS_IN,Episode:The_Adventure
Character:Bentley,APPEARS_IN,Episode:The_Adventure
Character:Zara,APPEARS_IN,Episode:The_Adventure
