id,season,episode,title,wiki_url
Episode:The_Magic_Xylophone,1,1,The Magic Xylophone,/wiki/The_Magic_Xylophone
Episode:Hospital,1,2,Hospital,/wiki/Hospital
Episode:Keepy_Uppy,1,3,Keepy Uppy,/wiki/Keepy_Uppy
Episode:Daddy_Robot,1,4,Daddy Robot,/wiki/Daddy_Robot
Episode:Shadowlands,1,5,Shadowlands,/wiki/Shadowlands
Episode:The_Weekend,1,6,The Weekend,/wiki/The_Weekend
Episode:BBQ,1,7,BBQ,/wiki/BBQ
Episode:Fruitbat,1,8,Fruitbat,/wiki/Fruitbat
Episode:Horsey_Ride,1,9,Horsey Ride,/wiki/Horsey_Ride
Episode:Hotel,1,10,Hotel,/wiki/Hotel
Episode:Bike,1,11,Bike,/wiki/Bike
Episode:Bob_Bilby,1,12,Bob Bilby,/wiki/Bob_Bilby
Episode:Spy_Game,1,13,Spy Game,/wiki/Spy_Game
Episode:Takeaway,1,14,Takeaway,/wiki/Takeaway
Episode:Butterflies,1,15,Butterflies,/wiki/Butterflies
Episode:Yoga_Ball,1,16,Yoga Ball,/wiki/Yoga_Ball
Episode:Calypso_(Episode),1,17,Calypso,/wiki/Calypso_(Episode)
Episode:The_Doctor,1,18,The Doctor,/wiki/The_Doctor
Episode:The_Claw,1,19,The Claw,/wiki/The_Claw
Episode:Markets,1,20,Markets,/wiki/Markets
Episode:Blue_Mountains,1,21,Blue Mountains,/wiki/Blue_Mountains
Episode:The_Pool,1,22,The Pool,/wiki/The_Pool
Episode:Shops,1,23,Shops,/wiki/Shops
Episode:Wagon_Ride,1,24,Wagon Ride,/wiki/Wagon_Ride
Episode:Taxi,1,25,Taxi,/wiki/Taxi
Episode:The_Beach,1,26,The Beach,/wiki/The_Beach
Episode:Pirates,1,27,Pirates,/wiki/Pirates
Episode:Grannies,1,28,Grannies,/wiki/Grannies
Episode:The_Creek,1,29,The Creek,/wiki/The_Creek
Episode:Fairies,1,30,Fairies,/wiki/Fairies
Episode:Work,1,31,Work,/wiki/Work
Episode:Bumpy_and_the_Wise_Old_Wolfhound,1,32,Bumpy and the Wise Old Wolfhound,/wiki/Bumpy_and_the_Wise_Old_Wolfhound
Episode:Trampoline,1,33,Trampoline,/wiki/Trampoline
Episode:The_Dump,1,34,The Dump,/wiki/The_Dump
Episode:Zoo,1,35,Zoo,/wiki/Zoo
Episode:Backpackers,1,36,Backpackers,/wiki/Backpackers
Episode:The_Adventure,1,37,The Adventure,/wiki/The_Adventure
Episode:Copycat,1,38,Copycat,/wiki/Copycat
Episode:The_Sleepover,1,39,The Sleepover,/wiki/The_Sleepover
Episode:Early_Baby,1,40,Early Baby,/wiki/Early_Baby
Episode:Mums_and_Dads,1,41,Mums and Dads,/wiki/Mums_and_Dads
Episode:Hide_and_Seek,1,42,Hide and Seek,/wiki/Hide_and_Seek
Episode:Camping,1,43,Camping,/wiki/Camping
Episode:Mount_Mumandad,1,44,Mount Mumandad,/wiki/Mount_Mumandad
Episode:Kids,1,45,Kids,/wiki/Kids
Episode:Chickenrat,1,46,Chickenrat,/wiki/Chickenrat
Episode:Neighbours,1,47,Neighbours,/wiki/Neighbours
Episode:Teasing,1,48,Teasing,/wiki/Teasing
Episode:Asparagus,1,49,Asparagus,/wiki/Asparagus
Episode:Shaun,1,50,Shaun,/wiki/Shaun
Episode:Daddy_Putdown,1,51,Daddy Putdown,/wiki/Daddy_Putdown
Episode:Verandah_Santa,1,52,Verandah Santa,/wiki/Verandah_Santa
Episode:Dance_Mode,2,1,Dance Mode,/wiki/Dance_Mode
Episode:Hammerbarn,2,2,Hammerbarn,/wiki/Hammerbarn
Episode:Featherwand,2,3,Featherwand,/wiki/Featherwand
Episode:Squash,2,4,Squash,/wiki/Squash
Episode:Hairdressers,2,5,Hairdressers,/wiki/Hairdressers
Episode:Stumpfest,2,6,Stumpfest,/wiki/Stumpfest
Episode:Favourite_Thing,2,7,Favourite Thing,/wiki/Favourite_Thing
Episode:Daddy_Dropoff,2,8,Daddy Dropoff,/wiki/Daddy_Dropoff
Episode:Bingo_(Episode),2,9,Bingo,/wiki/Bingo_(Episode)
Episode:Rug_Island,2,10,Rug Island,/wiki/Rug_Island
Episode:Charades,2,11,Charades,/wiki/Charades
Episode:Sticky_Gecko,2,12,Sticky Gecko,/wiki/Sticky_Gecko
Episode:Dad_Baby,2,13,Dad Baby,/wiki/Dad_Baby
Episode:Mum_School,2,14,Mum School,/wiki/Mum_School
Episode:Trains,2,15,Trains,/wiki/Trains
Episode:Army,2,16,Army,/wiki/Army
