source_id,label,target_id
Episode:The_Magic_Xylophone,HAS_RECAP_PART,Recap:Episode:The_Magic_Xylophone_0
Episode:The_Magic_Xylophone,HAS_RECAP_PART,Recap:Episode:The_Magic_Xylophone_1
Episode:The_Magic_Xylophone,HAS_RECAP_PART,Recap:Episode:The_Magic_Xylophone_2
Episode:The_Magic_Xylophone,HAS_RECAP_PART,Recap:Episode:The_Magic_Xylophone_3
Episode:Hospital,HAS_RECAP_PART,Recap:Episode:Hospital_0
Episode:Hospital,HAS_RECAP_PART,Recap:Episode:Hospital_1
Episode:Hospital,HAS_RECAP_PART,Recap:Episode:Hospital_2
Episode:Hospital,HAS_RECAP_PART,Recap:Episode:Hospital_3
Episode:Hospital,HAS_RECAP_PART,Recap:Episode:Hospital_4
Episode:Keepy_Uppy,HAS_RECAP_PART,Recap:Episode:Keepy_Uppy_0
Episode:Keepy_Uppy,HAS_RECAP_PART,Recap:Episode:Keepy_Uppy_1
Episode:Keepy_Uppy,HAS_RECAP_PART,Recap:Episode:Keepy_Uppy_2
Episode:Keepy_Uppy,HAS_RECAP_PART,Recap:Episode:Keepy_Uppy_3
Episode:Keepy_Uppy,HAS_RECAP_PART,Recap:Episode:Keepy_Uppy_4
Episode:Daddy_Robot,HAS_RECAP_PART,Recap:Episode:Daddy_Robot_0
Episode:Daddy_Robot,HAS_RECAP_PART,Recap:Episode:Daddy_Robot_1
Episode:Daddy_Robot,HAS_RECAP_PART,Recap:Episode:Daddy_Robot_2
Episode:Shadowlands,HAS_RECAP_PART,Recap:Episode:Shadowlands_0
Episode:Shadowlands,HAS_RECAP_PART,Recap:Episode:Shadowlands_1
Episode:Shadowlands,HAS_RECAP_PART,Recap:Episode:Shadowlands_2
Episode:Shadowlands,HAS_RECAP_PART,Recap:Episode:Shadowlands_3
Episode:Shadowlands,HAS_RECAP_PART,Recap:Episode:Shadowlands_4
Episode:The_Weekend,HAS_RECAP_PART,Recap:Episode:The_Weekend_0
Episode:The_Weekend,HAS_RECAP_PART,Recap:Episode:The_Weekend_1
Episode:The_Weekend,HAS_RECAP_PART,Recap:Episode:The_Weekend_2
Episode:The_Weekend,HAS_RECAP_PART,Recap:Episode:The_Weekend_3
Episode:The_Weekend,HAS_RECAP_PART,Recap:Episode:The_Weekend_4
Episode:BBQ,HAS_RECAP_PART,Recap:Episode:BBQ_0
Episode:BBQ,HAS_RECAP_PART,Recap:Episode:BBQ_1
Episode:BBQ,HAS_RECAP_PART,Recap:Episode:BBQ_2
Episode:BBQ,HAS_RECAP_PART,Recap:Episode:BBQ_3
Episode:BBQ,HAS_RECAP_PART,Recap:Episode:BBQ_4
Episode:Fruitbat,HAS_RECAP_PART,Recap:Episode:Fruitbat_0
Episode:Fruitbat,HAS_RECAP_PART,Recap:Episode:Fruitbat_1
Episode:Fruitbat,HAS_RECAP_PART,Recap:Episode:Fruitbat_2
Episode:Fruitbat,HAS_RECAP_PART,Recap:Episode:Fruitbat_3
Episode:Fruitbat,HAS_RECAP_PART,Recap:Episode:Fruitbat_4
Episode:Horsey_Ride,HAS_RECAP_PART,Recap:Episode:Horsey_Ride_0
Episode:Horsey_Ride,HAS_RECAP_PART,Recap:Episode:Horsey_Ride_1
Episode:Horsey_Ride,HAS_RECAP_PART,Recap:Episode:Horsey_Ride_2
Episode:Horsey_Ride,HAS_RECAP_PART,Recap:Episode:Horsey_Ride_3
Episode:Horsey_Ride,HAS_RECAP_PART,Recap:Episode:Horsey_Ride_4
Episode:Hotel,HAS_RECAP_PART,Recap:Episode:Hotel_0
Episode:Hotel,HAS_RECAP_PART,Recap:Episode:Hotel_1
Episode:Hotel,HAS_RECAP_PART,Recap:Episode:Hotel_2
Episode:Bike,HAS_RECAP_PART,Recap:Episode:Bike_0
