id,episode_id,index,text
Recap:Episode:The_Magic_Xylophone_0,Episode:The_Magic_Xylophone,0,Dad is playing the piano on Bluey when Bingo asks for a turn - despite Bluey's protests that it's still her turn. Dad uses Bingo as the bum-bongo drums and Mum Chilli joins in dancing.
Recap:Episode:The_Magic_Xylophone_1,Episode:The_Magic_Xylophone,1,"Bingo then finds the ""magic xylophone"" in the toy box which freezes and unfreezes people with a ding of the ""dinger thing"" (mallet). Dad is frozen and rearranged first with a finger up his nose, then wearing a boa, antlers and a drawn on mustache. Instead of taking turns however, Bluey takes most of the turns, not giving Bingo a chance."
Recap:Episode:The_Magic_Xylophone_2,Episode:The_Magic_Xylophone,2,"Mum heads off to work, reminding the kids to take turns and unfreeze  their father for toilet breaks. Bluey finally gives Bingo a turn to unfreeze Dad, and they run inside to hide from him under Bluey's bed. When they go looking for him though a squabble breaks out over whose turn it is to use the xylophone, and Dad takes the opportunity to jump out of the cupboard and steals the xylophone from the girls and freezing Bluey."
Recap:Episode:The_Magic_Xylophone_3,Episode:The_Magic_Xylophone,3,"Dad takes Bluey outside to be a garden gnome with the threat of hosing her down. Luckily, Bingo is hiding in the bushes and unfreezes Bluey while Dad goes to get the hose. When Bluey tries to grab the Xylophone again though, Bingo freezes her, saying that it makes her sad when she won't take turns when they play together. She only unfreezes Bluey after she promises to take turns. The kids then work together to trick Dad into holding the hose into his face and sit on the front steps, companionably enjoying their work."
Recap:Episode:Hospital_0,Episode:Hospital,0,"In the Heeler house, Bandit and Bingo are playing a game when Bandit puts his hand on his aching back and asks ""Is there some game where I just lie really still?"" leading to a reluctant game of pretend hospital."
Recap:Episode:Hospital_1,Episode:Hospital,1,"Bingo welcomes the patient ""Telemachus"" referring to Bandit and assures him there's no need to be nervous. However, this fear isn't allayed as Doctor Bluey bursts in and jabs Dad with the first needle ""DING!!!"" ""Ohhhhhh brave boy"" coos Nurse Bingo as she smooths on a plaster. Dr. Bluey asks the 'big blue guy' if he's got a baby in his tummy before jabbing in another needle and ordering an X-ray. ""Don't worry sweetie"" assures Nurse Bingo as she does an X-ray which reveals a possum-shaped cat inside of him."
Recap:Episode:Hospital_2,Episode:Hospital,2,"Dr. Bluey says that the prognosis doesn't look good and that the cat probably went in through Dads belly button. They need to operate straight away, though Nurse Bingo needs to put the patient to sleep first. They operate and remove an octopus by accident. Dr. Bluey can see the cat but even with the help of a hammer she can't get the cat out and it bites her. Bluey tells the 'big blue guy' that there's nothing they can do and leaves to see other patients."
Recap:Episode:Hospital_3,Episode:Hospital,3,"Nurse Bingo reevaluates the X-ray and shows Dr. Bluey that there is a way to help Telemachus, as there is a mouse in his tummy as well. They use some cheese to lure out the mouse and the cat chases him."
Recap:Episode:Hospital_4,Episode:Hospital,4,"Finally, Bandit is ""cured"" with the exception with one more needle."
Recap:Episode:Keepy_Uppy_0,Episode:Keepy_Uppy,0,"Picturesque hot air balloons are floating above the Heelers' house, while Bluey wakes up, blows up her last balloon and pretends it’s a pet ""bird"" who squeaks and then zips around the room as she lets it “go free”. Chilli suggests they play ""Keepy Uppy"" instead-keeping the balloon in the air without letting it touch the ground."
