source_id,label,target_id
Character:Bandit_Heeler,IS_FATHER_OF,Character:Bluey_Heeler
Character:Chilli_Heeler,IS_MOTHER_OF,Character:Bluey_Heeler
Character:Bingo_Heeler,IS_SISTER_OF,Character:Bluey_Heeler
Character:Chloe,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Rusty,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Mackenzie_Border_Collie,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Indy,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Coco,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Snickers,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Honey,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Lucky,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Judo,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Winnie,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Mia,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Jean-Luc,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Winton,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Jack_Russell,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Pat,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Janelle,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Chucky,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Buddy,IS_FRIEND_OF,Character:Bluey_Heeler
Character:The_Terriers,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Pretzel,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Bentley,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Fido,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Hercules,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Pom_Pom,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Maynard,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Missy,IS_FRIEND_OF,Character:Bluey_Heeler
Character:Chilli_Heeler,IS_WIFE_OF,Character:Bandit_Heeler
Character:Bluey_Heeler,IS_DAUGHTER_OF,Character:Bandit_Heeler
Character:Bingo_Heeler,IS_DAUGHTER_OF,Character:Bandit_Heeler
Character:Bob_Heeler,IS_FATHER_OF,Character:Bandit_Heeler
Character:Chris_Heeler,IS_MOTHER_OF,Character:Bandit_Heeler
Character:Radley_Heeler,IS_BROTHER_OF,Character:Bandit_Heeler
Character:Stripe_Heeler,IS_BROTHER_OF,Character:Bandit_Heeler
Character:Pat,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Fido,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Rocko,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Mackenzie%27s_Dad,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Mackenzie%27s_Mum,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Janelle,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Frank,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Chloe%27s_Mum,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Wendy,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Marcus,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Daisy,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Indy%27s_Mum,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Doreen,IS_FRIEND_OF,Character:Bandit_Heeler
Character:Bandit_Heeler,IS_FATHER_OF,Character:Bingo_Heeler
Character:Chilli_Heeler,IS_MOTHER_OF,Character:Bingo_Heeler
Character:Bluey_Heeler,IS_SISTER_OF,Character:Bingo_Heeler
Character:Lila,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Lucky,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Chucky,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Indy,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Coco,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Snickers,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Honey,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Mackenzie_Border_Collie,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Chloe,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Judo,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Rusty,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Buddy,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Juniper,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Bentley,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Missy,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Maynard,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Jasper_G.,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Jasper_W.,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Hercules,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Winton,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Winnie,IS_FRIEND_OF,Character:Bingo_Heeler
Character:The_Terriers,IS_FRIEND_OF,Character:Bingo_Heeler
Character:Bandit_Heeler,IS_HUSBAND_OF,Character:Chilli_Heeler
Character:Bluey_Heeler,IS_DAUGHTER_OF,Character:Chilli_Heeler
Character:Bingo_Heeler,IS_DAUGHTER_OF,Character:Chilli_Heeler
Character:Mort_Cattle,IS_FATHER_OF,Character:Chilli_Heeler
Character:Brandy_Cattle,IS_SISTER_OF,Character:Chilli_Heeler
Character:Daisy,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Mackenzie%27s_Mum,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Chloe%27s_Mum,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Snickers%27_Mum,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Bella,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Wendy,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Frisky_Heeler,IS_FRIEND_OF,Character:Chilli_Heeler
Character:The_Sign,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Maynard,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Pat,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Janelle,IS_FRIEND_OF,Character:Chilli_Heeler
Character:Coco,IS_DAUGHTER_OF,Character:Bella
Character:Chilli_Heeler,IS_FRIEND_OF,Character:Bella
Character:Snickers%27_Mum,IS_FRIEND_OF,Character:Bella
Character:Wendy,IS_FRIEND_OF,Character:Bella
Character:Zara,IS_SISTER_OF,Character:Bentley
Character:Bingo_Heeler,IS_FRIEND_OF,Character:Bentley
Character:Bluey_Heeler,IS_FRIEND_OF,Character:Bentley
Character:Chris_Heeler,IS_WIFE_OF,Character:Bob_Heeler
Character:Rad_Heeler,IS_SON_OF,Character:Bob_Heeler
Character:Bandit_Heeler,IS_SON_OF,Character:Bob_Heeler
Character:Stripe_Heeler,IS_SON_OF,Character:Bob_Heeler
Character:Mort_Cattle,IS_FATHER_OF,Character:Brandy_Cattle
Character:Chilli%27s_Mum,IS_MOTHER_OF,Character:Brandy_Cattle
Character:Chilli_Heeler,IS_SISTER_OF,Character:Brandy_Cattle
Character:Stripe_Heeler,IS_FRIEND_OF,Character:Brandy_Cattle
Character:Trixie_Heeler,IS_FRIEND_OF,Character:Brandy_Cattle
Character:Frisky_Heeler,IS_FRIEND_OF,Character:Brandy_Cattle
Character:Bluey_Wiki#cite_note-1,IS_FRIEND_OF,Character:Brandy_Cattle
Character:Buddy%27s_Mum,IS_MOTHER_OF,Character:Buddy
Character:Bingo_Heeler,IS_FRIEND_OF,Character:Buddy
Character:Bluey_Heeler,IS_FRIEND_OF,Character:Buddy
Character:Chucky,IS_FRIEND_OF,Character:Buddy
Character:Pom_Pom,IS_FRIEND_OF,Character:Buddy
Character:Buddy,IS_SON_OF,Character:Buddy%27s_Mum
Character:Chilli_Heeler,IS_FRIEND_OF,Character:Buddy%27s_Mum
Character:Bandit_Heeler,IS_FRIEND_OF,Character:Buddy%27s_Mum
Character:Pat,IS_FRIEND_OF,Character:Buddy%27s_Mum
Character:Janelle,IS_FRIEND_OF,Character:Buddy%27s_Mum
Character:Sheila,IS_FRIEND_OF,Character:Buddy%27s_Mum
